fire_id,fire_name,fire_size,STAT_CAUSE_DESCR,latitude,longitude,state_code,disc_clean_date,cont_clean_date,Vegitation
65,DALLAS LOOP,1,Debris Burning,32.80707917,-94.57469159,TX,1/16/2009,,12
66,,2,Debris Burning,47.342389,-92.822977,MN,4/26/1997,,15
67,FATHER'S DAY FIRE,1,Smoking,30.23458,-88.66805,MS,6/22/2009,,12
68,,19.3,Debris Burning,31.2408,-81.5575,GA,3/16/1999,,12
69,,10.5,Arson,32.0503,-85.5731,AL,3/29/1998,,12
70,,50,Arson,33.21749998,-79.32026999,SC,3/20/2004,,16
71,,3,Missing/Undefined,32.94166667,-80.64166667,SC,3/21/1995,3/21/1995,12
72,,4,Debris Burning,29.77036999,-97.22999998,TX,2/8/2006,,12
73,,10,Equipment Use,43.94039999,-98.51480001,SD,10/27/2003,,9
74,,8,Miscellaneous,31.8044,-92.7642,LA,9/26/1997,,12
75,,3.2,Equipment Use,45.0422716,-89.03498935,WI,4/3/1995,4/3/1995,9
76,,0.52,Debris Burning,31.9954,-82.7805,GA,8/22/1996,8/22/1996,12
77,,5,Equipment Use,32.27594,-102.7609,TX,2/13/2008,,12
78,RAMP,450,Equipment Use,34.33,-117.5130556,CA,7/22/2006,7/23/2006,16
79,BIRCH,2.5,Lightning,42.36444444,-112.2322222,ID,7/25/2006,7/26/2006,9
80,,8,Railroad,28.06,-82.57,FL,11/16/1998,,12
81,,1,Debris Burning,37.82518,-93.74782,MO,9/26/1999,,0
82,,2,Missing/Undefined,33.59583333,-80.325,SC,12/27/1993,12/27/1993,16
83,TELEPHONE CANYON,18,Missing/Undefined,41.51085,-109.50637,WY,6/5/2012,6/8/2012,15
84,LIL CARIBO,108,Lightning,63.8517,-150.3543,AK,7/1/1997,7/27/1997,0
85,,3.02,Debris Burning,31.52155134,-83.3011096,GA,12/23/2010,,12
86,FY2014-TOOMBS-030,13.65,Debris Burning,32.28853889,-82.40083333,GA,3/11/2014,3/11/2014,12
87,,0.7,Campfire,34.9,-111.4333333,AZ,7/20/1992,7/29/1992,16
88,MCNEIL,3,Equipment Use,35.29805555,-120.48,CA,8/20/1995,,15
89,SWEETBAY 1,1,Miscellaneous,25.334719,-80.805556,FL,4/14/1992,4/14/1992,12
90,,3,Lightning,43.246827,-73.665822,NY,7/16/1995,,9
91,RL278,20,Miscellaneous,47.8666,-94.9169,MN,4/9/2000,4/9/2000,15
92,,1.17,Debris Burning,43.71814,-89.52824,WI,6/14/2006,,9
93,,1,Arson,36.816567,-119.63695,CA,10/23/2013,10/23/2013,0
94,,1,Debris Burning,35.06351,-93.35006,AR,10/21/2011,10/21/2011,15
95,FY2015-LAURENS-107,4,Debris Burning,32.25136667,-82.91357222,GA,1/31/2015,1/31/2015,12
96,TAYLOR FURY (54),1,Debris Burning,29.4794,-81.584,FL,2/14/2015,2/14/2015,12
97,FY2011-HARRIS-024,9.94,Debris Burning,32.78947346,-84.84721729,GA,2/23/2011,2/23/2011,12
98,HAMMER CREEK,26,Campfire,45.76867435,-116.3321016,ID,8/25/2012,8/25/2012,15
99,,13,Children,31.0847,-88.5464,MS,12/27/2001,,12
100,,1.36,Miscellaneous,41.55579979,-74.40212285,NY,4/18/2009,4/18/2009,15
101,US HWY 74,2,Arson,34.55,-79.0167,NC,2/27/2000,,16
102,,10.66,Equipment Use,32.4929,-84.1167,GA,4/12/1993,4/12/1993,12
103,,15.7,Debris Burning,32.75029364,-82.48540152,GA,3/20/2004,,12
104,,1,Smoking,37.2936,-83.2331,KY,3/27/1998,,0
105,,60,Arson,34.7703,-88.4019,MS,4/20/2001,,16
106,,2.8,Railroad,31.133234,-81.55446249,GA,11/10/2007,,12
107,,1,Equipment Use,36.94415,-94.31492,MO,6/29/2011,6/29/2011,0
108,,3.84,Smoking,34.15052242,-84.40011591,GA,2/8/2007,,16
109,NELLIE LANE I,0.6,Arson,34.6833,-77.15,NC,11/10/2004,,16
110,,80,Equipment Use,33.52291,-94.97292,TX,8/30/1995,,16
111,FY2001-DADE-041,3.4,Arson,34.9102,-85.4287,GA,3/24/2001,3/24/2001,16
112,,5,Railroad,29.14,-82.33,FL,11/15/1992,,12
113,,15,Missing/Undefined,35.03680041,-95.26930239,OK,1/6/1994,1/6/1994,15
114,WABANA POWERLINE,2,Equipment Use,47.41333333,-94.49,MN,3/12/1998,3/12/1998,15
115,FY2012-COWETA-020,5.2,Miscellaneous,33.42630321,-84.9252261,GA,4/26/2012,4/26/2012,16
116,,4,Debris Burning,32.378046,-87.092804,AL,1/10/2006,1/10/2006,12
117,BLUE HEAD,1330.2,Debris Burning,27.16361,-81.52334,FL,2/11/2009,,12
118,8144 W US 290,1,Equipment Use,30.2370808,-97.8383698,TX,11/4/2011,,12
119,EIGHT MILE,2,Campfire,37.1575,-107.0202778,CO,9/20/2008,9/23/2008,0
120,,90,Lightning,30.41306,-103.1489,TX,6/14/2008,,12
121,OLD ELK,1,Structure,45.5639,-107.4868,MT,10/2/1995,10/2/1995,15
122,,2,Missing/Undefined,43.285295,-95.7828301,IA,11/10/2009,11/10/2009,9
123,BALL,3,Lightning,36.0602,-118.0965,CA,7/25/2003,7/27/2003,0
124,WHITFIELD RD.,1,Arson,34.8839,-98.2039,OK,8/2/2011,8/2/2011,16
125,,1.5,Arson,31.4636,-81.3551,GA,7/3/1996,7/3/1996,12
126,,15,Arson,34.80025167,-89.65493016,MS,5/1/1996,5/1/1996,16
127,,4,Lightning,45.63666667,-106.0383333,MT,6/25/1994,6/26/1994,15
128,,1,Arson,32.9878,-89.6958,MS,3/7/2002,,12
129,,1,Arson,40.74611111,-75.74861111,PA,4/26/2009,,15
130,NICHOLS,78,Arson,36.78186,-96.004014,OK,12/27/2013,12/27/2013,0
131,MULTIPLE,3,Arson,33.2892,-110.4575,AZ,5/21/2006,5/21/2006,16
132,,3,Lightning,30.11,-82.04,FL,6/23/1998,,12
133,FY2000-STEWART-045,1.23,Miscellaneous,32.0988,-84.7623,GA,3/21/2000,3/21/2000,12
134,,1.5,Miscellaneous,40.86545041,-72.93647803,NY,7/29/2002,7/29/2002,15
135,,1,Arson,36.3389,-91.5364,AR,3/23/1997,,0
136,,20,Miscellaneous,32.364782,-86.97223,AL,11/18/2008,11/18/2008,12
137,,0.75,Miscellaneous,47.68795,-117.237,WA,9/13/2007,,15
138,MS0    0909-5570703012,4,Missing/Undefined,31.025575,-90.377754,MS,7/3/2009,,12
139,LASILOO,1,Children,35.0623,-108.8434,NM,5/3/1997,5/3/1997,15
140,,85,Arson,32.5897,-88.3636,AL,9/21/2000,,12
141,2013-10464,1,Miscellaneous,35.150426,-101.856664,TX,7/4/2013,,15
142,LAKERIDGE1,1,Lightning,33.9848,-110.0857,AZ,7/18/1997,7/18/1997,16
143,,15,Debris Burning,33.31660999,-96.06086,TX,12/26/2005,,16
144,,1,Debris Burning,34.1156,-81.4619,SC,4/3/1999,,16
145,,0.58,Miscellaneous,31.04372295,-84.97758751,GA,10/31/2008,,12
146,AGARD,1,Debris Burning,46.1144,-100.6923,ND,4/2/2001,4/2/2001,9
147,,4,Debris Burning,32.8178,-81.8286,GA,3/12/1999,,12
148,,3,Debris Burning,34.301426,-79.426903,SC,3/30/2014,3/30/2014,16
149,DEADHORSE-COBB SADDLE,26.5,Lightning,44.93083,-120.06583,OR,8/25/2011,8/29/2011,15
150,,160,Lightning,34.98778,-103.2794,NM,6/15/2006,,16
151,4410,1,Smoking,45.39555556,-121.5536111,OR,5/30/1995,5/30/1995,9
152,,5,Debris Burning,31.96458,-95.10625,TX,7/7/1998,,12
153,NOR-20140402-005,14,Miscellaneous,34.461468,-86.799757,AL,4/2/2014,4/2/2014,16
154,LINDEN - 411,1,Miscellaneous,33.58500167,-95.08555556,TX,8/13/2011,8/13/2011,16
155,,35,Debris Burning,30.2006,-81.705,FL,4/5/2000,,12
156,ALGAIER,20,Debris Burning,33.628128,-94.858296,TX,5/28/2012,,16
157,BUCK LAKE,9.1,Campfire,29.1325,-81.62,FL,5/26/2015,5/26/2015,12
158,,10,Arson,33.37021,-98.44781,TX,2/28/2006,,16
159,"""PARRA, B""               ",200,Equipment Use,39.965,-122.3180556,CA,8/22/1998,,0
160,,2,Missing/Undefined,34.22433002,-95.58433997,OK,12/28/2005,,16
161,303 BENNETT RD.,1,Debris Burning,33.05,-97.514,TX,2/25/2009,,16
162,,8,Campfire,32.25719,-85.40776,AL,4/4/1995,,12
163,,1,Miscellaneous,31.7686,-89.2439,MS,2/6/2001,,12
164,,2,Debris Burning,33.6767,-86.9606,AL,9/18/1997,,16
165,HOLZERS,17.9,Children,48.0443,-118.3853,WA,5/21/2001,5/21/2001,15
166,,12,Arson,32.87,-84.5036,GA,3/12/1998,,12
167,,4,Miscellaneous,33.8247,-94.5981,OK,1/3/2001,,16
168,,2,Miscellaneous,33.70444133,-112.1760022,AZ,6/27/1993,6/27/1993,16
169,,1,Railroad,34.1086,-79.2922,SC,4/17/2001,,16
170,,4,Arson,33.310308,-87.777564,AL,4/16/2008,4/16/2008,16
171,,1,Debris Burning,30.62292,-94.43125,TX,2/12/1996,,12
172,,2,Debris Burning,35.125,-82.5203,SC,3/2/2001,,15
173,WLDFR-BOYE,40,Equipment Use,41.533,-96.0333,NE,8/1/2002,8/1/2002,15
174,,25,Equipment Use,29.59138997,-98.09027999,TX,1/19/2006,,12
175,,1.74,Powerline,42.82194189,-73.35379719,NY,4/21/2005,4/21/2005,4
176,,1,Children,33.74134,-80.32345,SC,4/5/2007,,16
177,,46,Equipment Use,38.2747174,-81.68021598,WV,1/2/2009,,0
178,,11,Children,30.76,-86.28,FL,9/23/1999,,12
179,,3,Debris Burning,29.50028,-83.26083,FL,8/23/2007,,12
180,,3,Arson,31.6086,-89.8714,MS,6/29/2006,,12
181,,4,Arson,33.9833,-78.9833,SC,3/28/1998,,16
182,,0.74,Debris Burning,31.6358,-84.0959,GA,8/20/1993,8/20/1993,12
183,,2,Campfire,38.43800893,-81.34133251,WV,12/16/2006,,0
184,,1,Miscellaneous,38.00945,-77.46472,VA,2/10/2008,,0
185,FY2014-CHATTOOGA-020,5.7,Debris Burning,34.50582778,-85.44243889,GA,3/2/2014,3/2/2014,16
186,,1,Debris Burning,34.3428,-89.8114,MS,9/19/2000,,16
187,FRIEBORN,1.5,Lightning,33.7319444,-109.026667,NM,7/18/2010,7/21/2010,16
188,,1,Debris Burning,32.1975,-95.11972001,TX,1/25/2006,,12
189,,50,Lightning,33.5333,-79.1833,SC,4/19/2002,,16
190,,1,Debris Burning,36.85888889,-78.08666667,VA,1/14/2011,,0
191,,1.64,Miscellaneous,32.13443684,-81.92211196,GA,2/1/2009,,12
192,LONESOME,1,Lightning,40.22861111,-120.6713889,CA,6/27/2006,6/28/2006,14
193,FY2014-BLECKLEY-006,10,Arson,32.51734167,-83.2437,GA,12/18/2013,12/18/2013,12
194,,35,Missing/Undefined,37.52616001,-83.67308001,KY,11/5/2006,,0
195,,1,Arson,38.22584605,-93.67895717,MO,3/28/1992,,0
196,,1,Debris Burning,31.6225,-90.4317,MS,12/25/2000,,12
197,,3.06,Children,33.71,-84.2811,GA,3/14/1994,3/14/1994,16
198,,4,Missing/Undefined,29.04056,-82.01278,FL,3/3/2009,,12
199,CROOKED RD,2,Debris Burning,42.9758,-108.9493,WY,3/8/2006,3/8/2006,4
200,,6,Missing/Undefined,46.76948,-116.345022,ID,7/29/1994,,15
201,,2,Debris Burning,31.6025,-87.5914,AL,2/24/2000,,12
202,,4.5,Debris Burning,44.33319999,-100.117,SD,4/12/2006,,15
203,,1.07,Equipment Use,32.92892624,-83.41705824,GA,2/17/2006,,12
204,,1,Equipment Use,42.68452,-97.4667,NE,4/13/2015,4/13/2015,4
205,13-1218A,1,Miscellaneous,33.2110576,-99.77,TX,12/18/2013,,16
206,,1.03,Debris Burning,32.0471,-83.6526,GA,6/22/1996,6/22/1996,12
207,,60,Miscellaneous,32.88971999,-79.81360999,SC,3/12/2004,,12
208,SORRELLS,2,Debris Burning,32.0363041,-98.4500262,TX,9/10/2014,,12
209,,1,Debris Burning,35.29543,-79.66157,NC,4/25/2009,,15
210,SWR-20140320-005,2,Miscellaneous,31.415244,-86.981828,AL,3/20/2014,,12
211,,3,Arson,33.7481,-87.6419,AL,2/11/1999,,16
212,,1,Missing/Undefined,28.78694001,-81.09472998,FL,5/9/2004,,12
213,,1,Arson,36.22212,-91.55439999,AR,4/14/2003,,0
214,VICTORY,125,Miscellaneous,35.5728,-98.3378,OK,2/17/1997,2/17/1997,15
215,,1.89,Miscellaneous,44.4163,-74.0025,NY,8/28/2012,8/28/2012,15
216,,1.47,Campfire,32.55891177,-83.86065995,GA,5/18/2006,,12
217,,2,Arson,33.483334,-79.349998,SC,11/2/2012,11/2/2012,16
218,,50,Miscellaneous,30.35218,-98.9208,TX,12/1/2008,,12
219,FY2012-FULTON SOUTH-002,6,Miscellaneous,33.55983163,-84.47725968,GA,11/2/2011,11/2/2011,16
220,FY2015-TREUTLEN-022,0.8,Debris Burning,32.45075,-82.61933333,GA,12/15/2014,12/15/2014,12
221,,2.4,Arson,41.85472222,-77.70888889,PA,4/25/2003,4/25/2003,15
222,8.52E+12,5,Campfire,31.55336502,-90.38181672,MS,11/27/2014,11/27/2014,12
223,,2,Debris Burning,39.36265359,-93.44782284,MO,4/4/1994,,0
224,STARTING A LITTLE EARLY,1,Equipment Use,34.95,-79.55,NC,11/6/2000,,16
225,LEYBA,1,Miscellaneous,35.5773,-106.3884,NM,1/22/1996,1/22/1996,15
226,,1,Debris Burning,32.44944,-95.28609,TX,8/26/2007,,12
227,INDIAN CREEK,46.4,Arson,37.73305556,-91.075,MO,3/2/2012,3/2/2012,0
228,,3,Arson,36.7539,-84.7225,KY,3/5/2000,,0
229,LITTLE KID,1,Children,43.3214,-101.0335,SD,4/1/1997,4/1/1997,9
230,BURLINGTON ROAD (39),1,Arson,30.3595,-84.8169,FL,6/18/2015,6/18/2015,12
231,,3.8,Debris Burning,44.52463094,-88.99604272,WI,4/8/2005,,15
232,WEST HUNGRYLAND (43),76,Lightning,27.0042,-80.3196,FL,7/8/2015,7/8/2015,12
233,,1.64,Miscellaneous,42.65472566,-77.7045713,NY,4/18/2009,4/18/2009,4
234,UNIT6-04-1,1400,Arson,29.94,-93.66566,LA,12/17/2003,12/18/2003,12
235,GRASS FIRE 185 FCR 820,5,Debris Burning,31.56061498,-96.29158335,TX,2/23/2009,,12
236,GREEN MOUNTAIN,510,Lightning,47.95055556,-115.6347222,MT,8/11/2000,8/29/2000,15
237,LUCKY2,30,Equipment Use,34.197,-103.532,NM,3/7/2011,3/7/2011,16
238,,25,Debris Burning,34.9817,-79.295,NC,3/27/1992,,16
239,,6,Miscellaneous,35.9228,-95.0381,OK,8/19/1999,,15
240,FRENCHMAN,288,Lightning,46.32555556,-115.5211111,ID,8/10/2015,,9
241,1448 LIBERTY CHURCH RD.,1,Debris Burning,36.0107,-80.650283,NC,1/17/2015,1/17/2015,0
242,BELLFOUNTIAN LIGHTING,1,Lightning,44.52476,-123.32556,OR,8/5/2003,8/5/2003,15
243,FY2003-PICKENS-022,2.58,Smoking,34.47177707,-84.5915675,GA,11/30/2002,11/30/2002,16
244,,14,Arson,35.89480001,-94.69501001,OK,12/12/2004,,15
245,REFINERY,3,Arson,47.9739,-101.8572,ND,8/29/2011,8/29/2011,15
246,,2,Railroad,27.52,-81.88,FL,1/27/1992,,12
247,,5,Lightning,34.0047,-94.5047,OK,10/21/1999,,16
248,,300,Miscellaneous,28.89555998,-97.22999998,TX,2/5/2006,,12
249,CAMP BRANCH,21,Debris Burning,37.87450077,-82.18528731,WV,3/15/2014,3/15/2014,0
250,,6,Missing/Undefined,18.085781,-66.990143,PR,3/15/2003,,12
251,,15,Arson,30.54395234,-88.4540867,MS,2/24/1999,2/24/1999,12
252,MS0    0909-5570305006,6,Missing/Undefined,31.171103,-90.388669,MS,3/5/2009,,12
253,,1,Missing/Undefined,36.39874,-80.0059,NC,12/5/2008,,0
254,14-0005139 DICK ELLIOTT GRASS FIRE,10,Debris Burning,30.823796,-96.380568,TX,8/24/2014,,12
255,,400,Lightning,34.30833333,-111.9583333,AZ,8/18/1993,8/20/1993,16
256,CANNON 2,800,Arson,48.84519561,-96.59908638,MN,4/28/2000,,15
257,NO LYNNDYL,563,Railroad,39.6028,-112.32612,UT,6/27/2005,6/30/2005,0
258,,18.59,Campfire,34.16972836,-84.68370595,GA,5/29/2007,,16
259,TH1309,4,Arson,47.9917,-98.9087,ND,4/21/2000,4/21/2000,15
260,,2,Equipment Use,33.4147,-80.0928,SC,3/24/2000,,16
261,BANNING LANE,5,Arson,35.34527778,-82.63527778,NC,5/19/2006,5/20/2006,15
262,YATSATTIE,15,Debris Burning,34.8834,-109.034,NM,3/30/1996,3/30/1996,16
263,,2,Missing/Undefined,21.4486752,-158.0296021,HI,4/23/2001,,12
264,ROSSER RANCH RANDY SAYLOR,15,Debris Burning,32.98789983,-98.63562799,TX,6/15/2009,,12
265,,10,Debris Burning,30.65760469,-88.92569585,MS,1/22/1994,1/22/1994,12
266,MARSHMELLO,3,Children,43.255,-100.8376,SD,5/5/2002,5/5/2002,9
267,,1,Miscellaneous,36.568867,-119.481683,CA,12/17/2013,12/17/2013,0
268,,13,Debris Burning,34.0804861,-83.86163681,GA,1/25/2005,,16
269,212DAYSCHL,168.3,Miscellaneous,45.0917,-100.4587,SD,4/6/1992,4/6/1992,9
270,,3,Debris Burning,30.59435,-97.7886,TX,2/10/2008,,12
271,,2,Arson,33.6553,-79.8192,SC,12/1/2001,,16
272,,2,Debris Burning,46.347297,-94.317311,MN,4/22/1994,,9
273,,1,Missing/Undefined,18.248112,-67.012444,PR,1/23/2011,,12
274,VALLEY 2,1.3,Miscellaneous,33.50411,-116.3795,CA,10/7/2013,10/12/2013,16
275,,6,Arson,35.7217,-83.5533,TN,11/8/2001,,15
276,,1,Arson,31.359876,-89.39684914,MS,2/5/1993,2/5/1993,12
277,,1.8,Lightning,45.28217824,-88.82622296,WI,8/4/1994,8/4/1994,9
278,,25,Arson,34.775,-88.4511,MS,5/11/2001,,16
279,,109,Debris Burning,31.10221999,-93.93528001,TX,4/29/2005,,12
280,,3.6,Debris Burning,32.1151,-81.7517,GA,2/14/1996,2/14/1996,12
281,,1,Debris Burning,36.92028,-83.96651,KY,10/28/2008,10/28/2008,0
282,KEYSTONE,6,Missing/Undefined,37.838889,-120.50748,CA,7/17/2012,,0
283,,1,Debris Burning,33.75,-80.2,SC,9/7/2002,,16
284,,30,Debris Burning,34.11264952,-88.55461438,MS,10/22/1999,10/22/1999,16
285,,3,Debris Burning,31.86916999,-94.40139002,TX,6/2/2003,,12
286,LONG  CYN.,5.2,Lightning,33.7556,-109.6509,AZ,6/6/2005,6/9/2005,16
287,,20,Debris Burning,32.1567,-95.54642,TX,2/7/2008,,12
288,,1,Equipment Use,37.17117,-93.16324,MO,11/16/1999,,0
289,OR11,23,Children,42.1167,-96.367,NE,4/17/1999,,9
290,BLUEBELLSP,3,Lightning,39.4555,-109.9757,UT,8/7/1996,8/7/1996,0
291,COWHOUSE ISLAND 1,29,Arson,31.0201,-82.23888889,GA,4/29/2006,5/15/2006,12
292,,1.05,Equipment Use,33.75914165,-85.14282755,GA,6/15/2006,,16
293,WOLF 1,3,Lightning,46.81194444,-115.3441667,ID,8/11/2015,,15
294,,30,Debris Burning,31.6067,-89.965,MS,2/22/2007,,12
295,CUMPIAN GRASS FIRE #1,5,Miscellaneous,28.84314273,-98.72458693,TX,3/18/2009,,12
296,,1,Debris Burning,33.16215,-94.94499,TX,2/8/2008,,16
297,ELIZABETH STREET,1,Lightning,39.28266823,-80.58605765,WV,4/11/1995,4/11/1995,0
298,,20,Arson,33.559897,-86.926153,AL,2/24/2007,2/24/2007,16
299,,2.8,Debris Burning,32.76585201,-84.0409446,GA,2/7/2009,,12
300,,25,Debris Burning,30.58161,-88.28403,AL,2/1/1994,,12
301,GRASS FIRE,80,Equipment Use,33.535242,-96.2883,TX,5/23/2012,,16
302,LAKE,5,Miscellaneous,32.85305555,-116.885,CA,7/11/2005,,12
303,,11.57,Miscellaneous,33.0586,-84.3617,GA,2/27/1994,2/27/1994,16
304,,4,Debris Burning,34.8217,-77.3583,NC,8/30/1993,,16
305,,15,Missing/Undefined,36.88201001,-83.87012999,KY,11/13/2005,,0
306,,0.97,Miscellaneous,43.24158503,-73.398691,NY,4/29/2009,4/29/2009,9
307,,3,Miscellaneous,31.75838998,-95.53345001,TX,3/8/2006,,12
308,FREEWAY 2,8,Miscellaneous,39.951177,-122.200397,CA,5/25/2014,5/25/2014,0
309,AVE 25  / RD 11,2,Miscellaneous,37.11305555,-120.3469444,CA,1/31/2007,,0
310,,5,Lightning,29.1,-81.15,FL,7/18/1994,,12
311,,2,Debris Burning,34.9197,-88.3239,MS,3/30/2006,,16
312,WENDY,3,Miscellaneous,35.92829376,-119.3128859,CA,6/24/1999,6/24/1999,15
313,CREW CAB,1,Equipment Use,46.1525,-100.6915,ND,5/3/2005,5/3/2005,9
314,,5,Missing/Undefined,34.73229999,-95.29599771,OK,9/30/1994,9/30/1994,16
315,,85,Arson,34.82717,-95.255,OK,2/10/2015,2/10/2015,16
316,HWY 77A,1,Debris Burning,29.320529,-97.141457,TX,3/19/2011,,12
317,BITTER,0.86,Miscellaneous,35.675633,-120.347045,CA,6/26/2015,6/26/2015,15
318,ELK TRACE,9,Fireworks,37.7073881,-81.73046153,WV,5/7/2014,5/7/2014,0
319,FY2002-FLOYD-087,9.77,Debris Burning,34.4816,-85.1115,GA,4/24/2002,4/24/2002,16
320,,41.28,Debris Burning,33.11641583,-83.40968181,GA,4/4/2004,,16
321,,50,Arson,38.3936,-82.8272,KY,11/7/1999,,0
322,HARLOW SPRINGS,20,Lightning,45.87667,-117.605,OR,8/17/2006,8/19/2006,15
323,FIGHTER,4.5,Arson,48.8525,-99.685,ND,10/3/2006,10/3/2006,15
324,,2.93,Debris Burning,32.1841,-83.3691,GA,2/13/1996,2/13/1996,12
325,COLSTON,1,Debris Burning,31.8417217,-95.0212296,TX,6/30/2013,,12
326,,20,Missing/Undefined,33.675,-79.225,SC,7/6/1993,7/7/1993,16
